id,stock_code,stock_name,close,change_rate,change_amount,volume,amount,amplitude,high,low,open,pre_close,volume_ratio,turnover,pe_dynamic,pb
5213,002971,和远气体,33.94,-2.19%,-0.76,12.83万,4.39亿,3.83%,35.03,33.70,34.59,34.70,0.48,8.20%,99.57,3.98
5214,300746,汉嘉数智,12.91,-2.20%,-0.29,5.56万,7220.00万,5.23%,13.43,12.74,13.21,13.20,0.75,2.49%,91.05,3.54
5215,601886,江河集团,8.89,-2.20%,-0.20,3.96万,3553.15万,2.97%,9.16,8.89,9.12,9.09,0.64,0.35%,16.49,1.44
5216,920726,朱老六,16.42,-2.20%,-0.37,1.34万,2209.57万,2.98%,16.83,16.33,16.74,16.79,0.80,2.40%,21.91,3.66
5217,920599,同力股份,16.77,-2.22%,-0.38,4.33万,7316.41万,3.79%,17.32,16.67,17.30,17.15,1.38,1.24%,10.27,2.22
5218,600346,恒力石化,18.53,-2.22%,-0.42,51.41万,9.56亿,3.43%,19.06,18.41,18.94,18.95,1.44,0.73%,8.34,1.84
5219,002304,洋河股份,43.61,-2.22%,-0.99,6.86万,3.01亿,2.56%,44.69,43.55,44.60,44.60,1.16,0.46%,6.71,1.33
5220,603828,*ST利达,5.71,-2.23%,-0.13,4.57万,2638.10万,5.14%,5.96,5.66,5.84,5.84,0.82,0.77%,279.24,6.65
5221,603163,圣晖集成,112.82,-2.23%,-2.57,4.24万,4.71亿,8.19%,116.55,107.10,115.30,115.39,0.75,4.24%,72.89,9.44
5222,300013,新宁物流,4.82,-2.23%,-0.11,48.72万,2.41亿,10.34%,5.30,4.79,5.11,4.93,1.61,10.92%,113.20,14.98
5223,301061,匠心家居,58.46,-2.24%,-1.34,1.67万,9795.15万,4.62%,60.65,57.89,60.24,59.80,1.14,1.15%,19.21,3.01
5224,000888,峨眉山Ａ,10.45,-2.25%,-0.24,8.07万,8491.42万,2.99%,10.76,10.44,10.75,10.69,1.38,1.53%,23.25,2.02
5225,600754,锦江酒店,20.89,-2.25%,-0.48,13.69万,2.88亿,4.02%,21.66,20.80,21.65,21.37,1.00,1.51%,40.68,1.43
5226,301603,乔锋智能,137.80,-2.25%,-3.17,4.43万,6.04亿,5.30%,140.48,133.01,139.57,140.97,1.13,11.73%,39.29,6.65
5227,920123,芭薇股份,11.73,-2.25%,-0.27,8735,1027.06万,3.58%,12.11,11.68,12.11,12.00,0.90,1.37%,32.73,3.23
5228,002705,新宝股份,13.02,-2.25%,-0.30,13.06万,1.71亿,3.00%,13.35,12.95,13.30,13.32,1.02,1.62%,33.54,1.22
5229,601162,天风证券,3.47,-2.25%,-0.08,131.56万,4.59亿,3.10%,3.57,3.46,3.56,3.55,1.15,1.53%,39092.06,1.28
5230,601696,中银证券,11.71,-2.25%,-0.27,42.85万,5.05亿,3.17%,12.08,11.70,12.04,11.98,1.01,1.54%,22.49,1.68
5231,603055,台华新材,8.67,-2.25%,-0.20,8.53万,7423.55万,3.72%,8.95,8.62,8.95,8.87,0.75,0.96%,14.65,1.43
5232,601136,首创证券,15.17,-2.26%,-0.35,12.32万,1.88亿,3.29%,15.63,15.12,15.56,15.52,1.07,0.45%,52.71,2.93
5233,603193,润本股份,22.97,-2.26%,-0.53,3.00万,6924.10万,3.66%,23.74,22.88,23.60,23.50,0.99,2.90%,44.14,4.09
5234,601881,中国银河,12.13,-2.26%,-0.28,51.48万,6.28亿,3.06%,12.51,12.13,12.48,12.41,1.26,0.71%,9.99,1.09
5235,603027,千禾味业,7.79,-2.26%,-0.18,21.05万,1.64亿,4.64%,8.06,7.69,7.99,7.97,1.59,1.68%,17.53,2.96
5236,002726,ST龙大,1.73,-2.26%,-0.04,31.79万,5502.16万,3.95%,1.77,1.70,1.74,1.77,0.63,2.95%,-469.78,3.57
5237,002020,京新药业,13.82,-2.26%,-0.32,9.81万,1.37亿,3.11%,14.20,13.76,14.16,14.14,1.16,1.36%,18.01,1.95
5238,600501,航天晨光,20.70,-2.27%,-0.48,9.40万,1.95亿,5.15%,21.39,20.30,21.35,21.18,1.35,2.20%,-35.73,6.06
5239,000407,胜利股份,4.74,-2.27%,-0.11,31.51万,1.49亿,3.71%,4.85,4.67,4.85,4.85,0.91,3.60%,28.98,1.35
5240,601991,大唐发电,6.89,-2.27%,-0.16,794.50万,54.97亿,6.81%,7.16,6.68,7.00,7.05,0.72,6.41%,11.02,3.46
5241,002085,万丰奥威,12.90,-2.27%,-0.30,41.54万,5.36亿,3.48%,13.25,12.79,13.20,13.20,1.21,1.96%,28.17,3.59
5242,920035,精创电气,29.21,-2.28%,-0.68,6145,1812.86万,4.52%,30.53,29.18,30.53,29.89,0.76,3.93%,45.42,3.60
5243,603317,天味食品,15.40,-2.28%,-0.36,9.89万,1.53亿,3.49%,15.93,15.38,15.77,15.76,0.90,0.93%,16.39,3.93
5244,300025,华星创业,5.54,-2.29%,-0.13,24.66万,1.34亿,5.64%,5.61,5.29,5.52,5.67,1.99,4.87%,-150.34,6.61
5245,000869,张 裕Ａ,18.74,-2.29%,-0.44,2.16万,4033.01万,2.29%,19.04,18.60,18.98,19.18,1.14,0.47%,20.73,1.17
5246,605368,蓝天燃气,7.24,-2.29%,-0.17,5.14万,3731.41万,2.97%,7.41,7.19,7.40,7.41,1.22,0.72%,15.08,1.56
5247,603903,中持股份,12.76,-2.30%,-0.30,15.03万,1.93亿,6.89%,13.45,12.55,13.05,13.06,0.61,5.89%,47.23,2.28
5248,920146,华阳变速,6.37,-2.30%,-0.15,1.67万,1075.92万,4.45%,6.64,6.35,6.52,6.52,1.01,1.56%,-17.13,4.69
5249,001312,福恩股份,22.92,-2.30%,-0.54,6.05万,1.39亿,5.20%,23.89,22.67,23.44,23.46,0.85,10.58%,32.92,2.29
5250,002572,索菲亚,10.12,-2.32%,-0.24,8.63万,8781.32万,3.28%,10.42,10.08,10.40,10.36,0.77,1.33%,-63.40,1.48
5251,603229,奥翔药业,10.11,-2.32%,-0.24,11.40万,1.16亿,3.67%,10.41,10.03,10.40,10.35,0.81,1.37%,21.71,3.55
5252,300205,*ST天喻,5.88,-2.33%,-0.14,3.68万,2156.62万,3.32%,6.00,5.80,5.93,6.02,1.01,0.86%,-14.84,6.08
5253,920720,吉冈精密,11.33,-2.33%,-0.27,2.53万,2869.51万,4.14%,11.68,11.20,11.59,11.60,1.38,3.41%,74.09,5.49
5254,301276,嘉曼服饰,25.53,-2.33%,-0.61,1.87万,4808.86万,4.21%,26.50,25.40,26.50,26.14,0.80,2.59%,16.45,1.52
5255,920790,联迪信息,20.89,-2.34%,-0.50,1.29万,2706.74万,4.58%,21.62,20.64,21.40,21.39,0.98,2.37%,-250.97,5.32
5256,301022,海泰科,31.74,-2.34%,-0.76,3.17万,1.01亿,3.54%,32.75,31.60,32.22,32.50,0.66,4.73%,-147.03,2.25
